epoch,accuracy,loss,val_accuracy,val_loss
0,0.6350364685058594,0.6559299230575562,0.4731707274913788,0.6689205765724182
1,0.7481752038002014,0.5705786347389221,0.6487804651260376,0.5926918387413025
2,0.7761557102203369,0.4809683859348297,0.8097561001777649,0.4232172966003418
3,0.8296837210655212,0.39856988191604614,0.8341463208198547,0.35042551159858704
4,0.8588807582855225,0.3521256744861603,0.9024389982223511,0.2759200632572174
5,0.8783454895019531,0.3046943247318268,0.9463414549827576,0.2350393682718277
6,0.9318735003471375,0.2365437150001526,0.9365853667259216,0.19490747153759003
7,0.9489051103591919,0.18147200345993042,0.9512194991111755,0.1512347310781479
8,0.9683698415756226,0.1415947675704956,0.9317073225975037,0.16505146026611328
9,0.9513381719589233,0.15617553889751434,0.9756097793579102,0.10419096797704697
10,0.9781022071838379,0.10434197634458542,0.9707317352294922,0.09197784960269928
11,0.985401451587677,0.08575383573770523,0.9902439117431641,0.06497441977262497
12,0.9732360243797302,0.09522421658039093,0.9902439117431641,0.06039245054125786
13,0.9878345727920532,0.06446557492017746,0.9756097793579102,0.07264059782028198
14,0.989051103591919,0.05915752053260803,0.9853658676147461,0.0594453439116478
15,0.9902676343917847,0.048469871282577515,0.9902439117431641,0.04802984371781349
16,0.9026764035224915,0.36167871952056885,0.9268292784690857,0.22959288954734802
17,0.959854006767273,0.1592531055212021,0.9414634108543396,0.12459384649991989
18,0.9805352687835693,0.09722329676151276,0.9902439117431641,0.07145113497972488
19,0.989051103591919,0.06605188548564911,0.9902439117431641,0.053265493363142014
